Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Jalen Wayne (29001054),Jalen Wayne,29001054,WR/FLEX,3000,CIN@CLE 09/10/2023 01:00PM ET,CLE,0
WR,Jamal Agnew (28793099),Jamal Agnew,28793099,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,3.3
WR,Parker Washington (28793101),Parker Washington,28793101,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,2.7
WR,Tim Jones (28793103),Tim Jones,28793103,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Kevin Austin Jr. (28793105),Kevin Austin Jr.,28793105,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Kendric Pryor (28793107),Kendric Pryor,28793107,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Seth Williams (28793109),Seth Williams,28793109,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Jacob Harris (28793111),Jacob Harris,28793111,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Jaray Jenkins (28793113),Jaray Jenkins,28793113,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Elijah Cooks (28793115),Elijah Cooks,28793115,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Oliver Martin (28793117),Oliver Martin,28793117,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Jaylon Moore (28793119),Jaylon Moore,28793119,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,JAX,0
WR,Ashton Dulin (28793121),Ashton Dulin,28793121,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Breshad Perriman (28793123),Breshad Perriman,28793123,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Mike Strachan (28793125),Mike Strachan,28793125,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Vyncint Smith (28793127),Vyncint Smith,28793127,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Malik Turner (28793129),Malik Turner,28793129,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Juwann Winfree (28793131),Juwann Winfree,28793131,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Ethan Fernea (28793133),Ethan Fernea,28793133,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Zavier Scott (28793137),Zavier Scott,28793137,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Kody Case (28793139),Kody Case,28793139,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,D.J. Montgomery (29095824),D.J. Montgomery,29095824,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Tyler Adams (29095826),Tyler Adams,29095826,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Trey Palmer (28793063),Trey Palmer,28793063,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,6
